#::	$Id: nmap-mac-prefixes 4117 2006-11-02 19:46:28Z fyodor $ generated with make-mac-prefixes.pl
#::	Original data comes from http://standards.ieee.org/regauth/oui/oui.txt
#::	These values are known as Organizationally Unique Identifiers (OUIs)
#::	See http://standards.ieee.org/faqs/OUI.html
#::	We have added a few unregistered OUIs at the end.
00:0A:BA	Arcon Technology Limited
00:0A:BB	Taiwan Secom Co
00:0A:BC	Seabridge
00:0A:BD	Rupprecht & Patashnick Co.
00:0A:BE	Opnet Technologies CO.
00:0A:BF	Hirota SS
00:0A:C0	Fuyoh Video Industry CO.
00:0A:C1	Futuretel
00:0A:C2	FiberHome Telecommunication Technologies CO.
00:0A:C3	eM Technics Co.
00:0A:C4	Daewoo Teletech Co.
00:0A:C5	Color Kinetics
00:0A:C6	Ceterus Networks
00:0A:C7	Unication Group
00:0A:C8	Zpsys Co.,ltd. (planning&management)
00:0A:C9	Zambeel
00:0A:CA	Yokoyama Shokai Co.
00:0A:CB	Xpak MSA Group
00:0A:CC	Winnow Networks
00:0A:CD	Sunrich Technology Limited
00:0A:CE	Radiantech
00:0A:CF	Provideo Multimedia Co.
00:0A:D0	Niigata Develoment Center,  F.I.T. Co.
00:0A:D1	MWS
00:0A:D2	Jepico
00:0A:D3	Initech Co.
00:0A:D4	CoreBell Systems
00:0A:D5	Brainchild Electronic Co.
00:0A:D6	BeamReach Networks
00:0A:D7	Origin Electric Co.
00:0A:D8	IPCserv Technology
00:0A:D9	Sony Ericsson Mobile Communications AB
00:0A:DA	Private
00:0A:DB	SkyPilot Network
00:0A:DC	RuggedCom
00:0A:DD	InSciTek Microsystems
00:0A:DE	Happy Communication Co.
00:0A:DF	Gennum
00:0A:E0	Fujitsu Softek
00:0A:E1	EG Technology
00:0A:E2	Binatone Electronics International
00:0A:E3	Yang MEI Technology CO.
00:0A:E4	Wistron
00:0A:E5	ScottCare
00:0A:E6	Elitegroup Computer System Co. (ECS)
00:0A:E7	Eliop S.A.
00:0A:E8	Cathay Roxus Information Technology Co.
00:0A:E9	AirVast Technology
00:0A:EA	Adam Elektroniksti.
00:0A:EB	Shenzhen Tp-Link Technology Co;
00:0A:EC	Koatsu Gas Kogyo Co.
00:0A:ED	Harting Vending G.m.b.h. & CO KG
00:0A:EE	GCD Hard- & Software GmbH
00:0A:EF	Otrum ASA
00:0A:F0	Shin-oh Electronics CO., R&D
00:0A:F1	Clarity Design
00:0A:F2	NeoAxiom
00:0A:F3	Cisco Systems
00:0A:F4	Cisco Systems
00:0A:F5	Airgo Networks
00:0A:F6	Computer Process Controls
00:0A:F7	Broadcom
00:0A:F8	American Telecare
00:0A:F9	HiConnect
00:0A:FA	Traverse Technologies Australia
00:0A:FB	Ambri Limited
00:0A:FC	Core Tec Communications
00:0A:FD	Viking Electronic Services
00:0A:FE	NovaPal
00:0A:FF	Kilchherr Elektronik AG
00:0B:00	Fujian Start Computer Equipment Co.
00:0B:01	Daiichi Electronics CO.
00:0B:02	Dallmeier electronic
00:0B:03	Taekwang Industrial Co.
00:0B:04	Volktek
00:0B:05	Pacific Broadband Networks
00:0B:06	Motorola BCS
00:0B:07	Voxpath Networks
00:0B:08	Pillar Data Systems
00:0B:09	Ifoundry Systems Singapore
00:0B:0A	dBm Optics
00:0B:0B	Corrent
00:0B:0C	Agile Systems
00:0B:0D	Air2U
00:0B:0E	Trapeze Networks
00:0B:0F	Nyquist Industrial Control BV
00:0B:10	11wave Technonlogy Co.
00:0B:11	Himeji ABC Trading Co.
00:0B:12	Nuri Telecom Co.
00:0B:13	Zetron
00:0B:14	ViewSonic
00:0B:15	Platypus Technology
00:0B:16	Communication Machinery
00:0B:17	MKS Instruments
00:0B:18	Private
00:0B:19	Vernier Networks
00:0B:1A	Teltone
00:0B:1B	Systronix
00:0B:1C	Sibco bv
00:0B:1D	LayerZero Power Systems
00:0B:1E	Kappa Opto-electronics Gmbh
00:0B:1F	I CON Computer Co.
00:0B:20	Hirata
00:0B:21	G-Star Communications
00:0B:22	Environmental Systems and Services
00:0B:23	Siemens Subscriber Networks
00:0B:24	AirLogic
00:0B:25	Aeluros
00:0B:26	Wetek
00:0B:27	Scion
00:0B:28	Quatech
00:0B:29	LG Industrial Systems Co.
00:0B:2A	Howtel Co.
00:0B:2B	Hostnet
00:0B:2C	Eiki Industrial Co.
00:0B:2D	Danfoss
00:0B:2E	Cal-Comp Electronics (Thailand) Public Company Limited Taipe
00:0B:2F	bplan GmbH
00:0B:30	Beijing Gongye Science & Technology Co.
00:0B:31	Yantai ZhiYang Scientific and technology industry CO.
00:0B:32	Vormetric
00:0B:33	Vivato
00:0B:34	ShangHai Broadband TechnologiesLTD
00:0B:35	Quad Bit System co.
00:0B:36	Productivity Systems
00:0B:37	Manufacture DES Montres Rolex SA
00:0B:38	Knuerr AG
00:0B:39	Keisoku Giken Co.
00:0B:3A	Fortel DTV
00:0B:3B	devolo AG
00:0B:3C	Cygnal Integrated Products
00:0B:3D	Contal OK
00:0B:3E	BittWare
00:0B:3F	Anthology Solutions
00:0B:40	OpNext
00:0B:41	Ing. Buero Dr. Beutlhauser
00:0B:42	commax Co.
00:0B:43	Microscan Systems
00:0B:44	Concord IDea
00:0B:45	Cisco
00:0B:46	Cisco
00:0B:47	Advanced Energy
00:0B:48	sofrel
00:0B:49	RF-Link System
00:0B:4A	Visimetrics (UK)
00:0B:4B	Visiowave SA
00:0B:4C	Clarion (M) Sdn Bhd
00:0B:4D	Emuzed
00:0B:4E	VertexRSI Antenna Products Division
00:0B:4F	Verifone
00:0B:50	Oxygnet
00:0B:51	Micetek International
00:0B:52	Joymax Electronics
00:0B:53	Initium Co.
00:0B:54	BiTMICRO Networks
00:0B:55	ADInstruments
00:0B:56	Cybernetics
00:0B:57	Silicon Laboratories
00:0B:58	Astronautics C.A
00:0B:59	ScriptPro
00:0B:5A	HyperEdge
00:0B:5B	Rincon Research
00:0B:5C	Newtech Co.
00:0B:5D	Fujitsu Limited
00:0B:5E	Audio Engineering Society
00:0B:5F	Cisco Systems
00:0B:60	Cisco Systems
00:0B:61	Friedrich Lütze GmbH &Co.
00:0B:62	Ingenieurbüro Ingo Mohnen
00:0B:63	Kaleidescape
00:0B:64	Kieback & Peter GmbH & Co KG
00:0B:65	Sy.A.C. srl
00:0B:66	Teralink Communications
00:0B:67	Topview Technology
00:0B:68	Addvalue Communications Pte
00:0B:69	Franke Finland Oy
00:0B:6A	Asiarock Incorporation
00:0B:6B	Wistron Neweb
00:0B:6C	Sychip
00:0B:6D	Solectron Japan Nakaniida
00:0B:6E	Neff Instrument
00:0B:6F	Media Streaming Networks
00:0B:70	Load Technology
00:0B:71	Litchfield Communications
00:0B:72	Lawo AG
00:0B:73	Kodeos Communications
00:0B:74	Kingwave Technology Co.
00:0B:75	Iosoft
00:0B:76	ET&T Co.
00:0B:77	Cogent Systems
00:0B:78	Taifatech
00:0B:79	X-COM
00:0B:7A	Wave Science
00:0B:7B	Test-Um
00:0B:7C	Telex Communications
00:0B:7D	Solomon Extreme International
00:0B:7E	Saginomiya Seisakusho
00:0B:7F	OmniWerks
00:0B:80	Lycium Networks
00:0B:81	Kaparel
00:0B:82	Grandstream Networks
00:0B:83	Datawatt B.V.
00:0B:84	Bodet
00:0B:85	Airespace
00:0B:86	Aruba Networks
00:0B:87	American Reliance
00:0B:88	Vidisco
00:0B:89	Top Global Technology
00:0B:8A	Miteq
00:0B:8B	Kerajet
00:0B:8C	flextronics israel
00:0B:8D	Avvio Networks
00:0B:8E	Ascent
00:0B:8F	Akita Electronics Systems Co.
00:0B:90	Covaro Networks
00:0B:91	Aglaia Gesellschaft für Bildverarbeitung und Kommunikation
00:0B:92	Ascom Danmark A/S
00:0B:93	Barmag Electronic
00:0B:94	Digital Monitoring Products
00:0B:95	eBet Gaming Systems
00:0B:96	Innotrac Diagnostics Oy
00:0B:97	Matsushita Electric Industrial Co.
00:0B:98	NiceTechVision
00:0B:99	SensAble Technologies
00:0B:9A	Shanghai Ulink Telecom Equipment Co.
00:0B:9B	Sirius System Co
00:0B:9C	TriBeam Technologies
00:0B:9D	TwinMOS Technologies
00:0B:9E	Yasing Technology
00:0B:9F	Neue Elsa Gmbh
00:0B:A0	T&L Information
00:0B:A1	Syscom
00:0B:A2	Sumitomo Electric Networks
00:0B:A3	Siemens AG
00:0B:A4	Shiron Satellite Communications (1996)
00:0B:A5	Quasar Cipta Mandiri
00:0B:A6	Miyakawa Electric Works
00:0B:A7	Maranti Networks
00:0B:A8	Hanback Electronics CO.
00:0B:A9	CloudShield Technologies
00:0B:AA	Aiphone co.
00:0B:AB	Advantech Technology (china) Co.
00:0B:AC	3Com Europe
00:0B:AD	PC-PoS
00:0B:AE	Vitals System
00:0B:AF	Wooju Communications Co
00:0B:B0	Sysnet Telematica srl
00:0B:B1	Super Star Technology Co.
00:0B:B2	Smallbig Technology
00:0B:B3	RiT technologies
00:0B:B4	RDC Semiconductor,
00:0B:B5	nStor Technologies
00:0B:B6	Mototech
00:0B:B7	Micro Systems Co.
00:0B:B8	Kihoku Electronic Co.
00:0B:B9	Imsys AB
00:0B:BA	Harmonic Broadband Access Networks
00:0B:BB	Etin Systems Co.
00:0B:BC	En Garde Systems
00:0B:BD	Connexionz Limited
00:0B:BE	Cisco Systems
00:0B:BF	Cisco Systems
00:0B:C0	China Iwncomm Co.
00:0B:C1	Bay Microsystems
00:0B:C2	Corinex Communication
00:0B:C3	Multiplex
00:0B:C4	Biotronik Gmbh & Co
00:0B:C5	SMC Networks
00:0B:C6	ISAC
00:0B:C7	Icet S.p.a.
00:0B:C8	AirFlow Networks
00:0B:C9	Electroline Equipment
00:0B:CA	Datavan International
00:0B:CB	Fagor Automation , S. Coop
00:0B:CC	Jusan
00:0B:CD	Compaq (HP)
00:0B:CE	Free2move AB
00:0B:CF	Agfa NDT
00:0B:D0	XiMeta Technology Americas
00:0B:D1	Aeronix
00:0B:D2	Remopro Technology
00:0B:D3	cd3o
00:0B:D4	Beijing Wise Technology & Science DevelopmentLtd
00:0B:D5	Nvergence
00:0B:D6	Paxton Access
00:0B:D7	MBB Gelma GmbH
00:0B:D8	Industrial Scientific
00:0B:D9	General Hydrogen
00:0B:DA	EyeCross Co.
00:0B:DB	Dell ESG Pcba Test
00:0B:DC	Akcp
00:0B:DD	Tohoku Ricoh Co.
00:0B:DE	Teldix Gmbh
00:0B:DF	Shenzhen RouterD Networks Limited
00:0B:E0	SercoNet
00:0B:E1	Nokia NET Product Operations
00:0B:E2	Lumenera
00:0B:E3	Key Stream Co.
00:0B:E4	Hosiden
00:0B:E5	Hims Korea Co.
00:0B:E6	Datel Electronics
00:0B:E7	Comflux Technology
00:0B:E8	Aoip
00:0B:E9	Actel
00:0B:EA	Zultys Technologies
00:0B:EB	Systegra AG
00:0B:EC	Nippon Electric Instrument
00:0B:ED	ELM
00:0B:EE	inc.jet, Incorporated
00:0B:EF	Code
00:0B:F0	MoTEX Products Co.
00:0B:F1	LAP Laser Applikations
00:0B:F2	Chih-Kan Technology Co.
00:0B:F3	BAE Systems
00:0B:F4	Private
00:0B:F5	Shanghai Sibo Telecom Technology Co.
00:0B:F6	Nitgen Co.
00:0B:F7	Nidek Co.
00:0B:F8	Infinera
00:0B:F9	Gemstone communications
00:0B:FA	Exemys SRL
00:0B:FB	D-NET International
00:0B:FC	Cisco Systems
00:0B:FD	Cisco Systems
00:0B:FE	Castel Broadband Limited
00:0B:FF	Berkeley Camera Engineering
00:0C:00	BEB Industrie-Elektronik AG
00:0C:01	Abatron AG
00:0C:02	ABB Oy
00:0C:03	Hdmi Licensing
00:0C:04	Tecnova
00:0C:05	RPA Reserch Co.
00:0C:06	Nixvue Systems  Pte
00:0C:07	Iftest AG
00:0C:08	Humex Technologies
00:0C:09	Hitachi IE Systems Co.
00:0C:0A	Guangdong Province Electronic Technology Research Institute
00:0C:0B	Broadbus Technologies
00:0C:0C	Appro Technology
00:0C:0D	Communications & Power Industries / Satcom Division
00:0C:0E	XtremeSpectrum
00:0C:0F	Techno-One Co.
00:0C:10	PNI
00:0C:11	Nippon Dempa Co.
00:0C:12	Micro-Optronic-Messtechnik GmbH
00:0C:13	MediaQ
00:0C:14	Diagnostic Instruments
00:0C:15	CyberPower Systems
00:0C:16	Concorde Microsystems
00:0C:17	AJA Video Systems
00:0C:18	Zenisu Keisoku
00:0C:19	Telio Communications GmbH
00:0C:1A	Quest Technical Solutions
00:0C:1B	Oracom Co
00:0C:1C	MicroWeb Co.
00:0C:1D	Mettler & Fuchs AG
00:0C:1E	Global Cache
00:0C:1F	Glimmerglass Networks
00:0C:20	Fi WIn
00:0C:21	Faculty of Science and Technology, Keio University
00:0C:22	Double D Electronics
00:0C:23	Beijing Lanchuan Tech. Co.
00:0C:24	Anator
00:0C:25	Allied Telesyn Networks
00:0C:26	Weintek Labs.
00:0C:27	Sammy
00:0C:28	Rifatron
00:0C:29	VMware
00:0C:2A	Octtel Communication Co.
00:0C:2B	Elias Technology
00:0C:2C	Enwiser
00:0C:2D	FullWave Technology Co.
00:0C:2E	Openet information technology(shenzhen) Co.
00:0C:2F	SeorimTechnology Co.
00:0C:30	Cisco
00:0C:31	Cisco
00:0C:32	Avionic Design Development GmbH
00:0C:33	Compucase Enterprise Co.
00:0C:34	Vixen Co.
00:0C:35	KaVo Dental GmbH & Co. KG
00:0C:36	Sharp Takaya Electronics Industry Co.
00:0C:37	Geomation
00:0C:38	TelcoBridges
00:0C:39	Sentinel Wireless
00:0C:3A	Oxance
00:0C:3B	Orion Electric Co.
00:0C:3C	MediaChorus
00:0C:3D	Glsystech Co.
00:0C:3E	Crest Audio
00:0C:3F	Cogent Defence & Security Networks,
00:0C:40	Altech Controls
00:0C:41	The Linksys Group
00:0C:42	Routerboard.com
00:0C:43	Ralink Technology
00:0C:44	Automated Interfaces
00:0C:45	Animation Technologies
00:0C:46	Allied Telesyn
00:0C:47	SK Teletech(R&D Planning Team)
00:0C:48	QoStek
00:0C:49	Dangaard Telecom RTC Division A/S
00:0C:4A	Cygnus Microsystems Private Limited
00:0C:4B	Cheops Elektronik
00:0C:4C	Arcor AG&Co.
00:0C:4D	Acra Control
00:0C:4E	Winbest Technology CO
00:0C:4F	UDTech Japan
00:0C:50	Seagate Technology
00:0C:51	Scientific Technologies
00:0C:52	Roll Systems
00:0C:53	Private
00:0C:54	Pedestal Networks
00:0C:55	Microlink Communications
00:0C:56	Megatel Computer (1986)
00:0C:57	Mackie Engineering Services Belgium Bvba
00:0C:58	M&S Systems
00:0C:59	Indyme Electronics
00:0C:5A	IBSmm Industrieelektronik Multimedia
00:0C:5B	Hanwang Technology Co.
00:0C:5C	GTN Systems B.V.
00:0C:5D	Chic Technology (china)
00:0C:5E	Calypso Medical
00:0C:5F	Avtec
00:0C:60	ACM Systems
00:0C:61	AC Tech DBA Advanced Digital
00:0C:62	ABB Automation Technology Products AB, Control
00:0C:63	Zenith Electronics
00:0C:64	X2 MSA Group
00:0C:65	Sunin Telecom
00:0C:66	Pronto Networks
00:0C:67	OYO Electric Co.
00:0C:68	Oasis Semiconductor
00:0C:69	National Radio Astronomy Observatory
00:0C:6A	Mbari
00:0C:6B	Kurz Industrie-Elektronik GmbH
00:0C:6C	Elgato Systems
00:0C:6D	BOC Edwards
00:0C:6E	Asustek Computer
00:0C:6F	Amtek system co.
00:0C:70	ACC GmbH
00:0C:71	Wybron
00:0C:72	Tempearl Industrial Co.
00:0C:73	Telson Electronics CO.
00:0C:74	Rivertec
00:0C:75	Oriental integrated electronics.
00:0C:76	Micro-star International CO.
00:0C:77	Life Racing
00:0C:78	In-Tech Electronics Limited
00:0C:79	Extel Communications P/L
00:0C:7A	DaTARIUS Technologies GmbH
00:0C:7B	Alpha Project Co.
00:0C:7C	Internet Information Image
00:0C:7D	Teikoku Electric MFG. CO.
00:0C:7E	Tellium Incorporated
00:0C:7F	synertronixx GmbH
00:0C:80	Opelcomm
00:0C:81	Nulec Industries
00:0C:82	Network Technologies
00:0C:83	Logical Solutions
00:0C:84	Eazix
00:0C:85	Cisco Systems
00:0C:86	Cisco Systems
00:0C:87	ATI
00:0C:88	Apache Micro Peripherals
00:0C:89	AC Electric Vehicles
00:0C:8A	Bose
00:0C:8B	Connect Tech
00:0C:8C	Kodicom Co.
00:0C:8D	Matrix Vision Gmbh
00:0C:8E	Mentor Engineering
00:0C:8F	Nergal s.r.l.
00:0C:90	Octasic
00:0C:91	Riverhead Networks
00:0C:92	WolfVision Gmbh
00:0C:93	Xeline Co.
00:0C:94	United Electronic Industries
00:0C:95	PrimeNet
00:0C:96	OQO
00:0C:97	NV ADB TTV Technologies SA
00:0C:98	Letek Communications
00:0C:99	Hitel Link Co.
00:0C:9A	Hitech Electronics
00:0C:9B	EE Solutions
00:0C:9C	Chongho information & communications
00:0C:9D	AirWalk Communications
00:0C:9E	MemoryLink
00:0C:9F	NKE
00:0C:A0	StorCase Technology
00:0C:A1	Sigmacom Co.
00:0C:A2	Scopus Network Technologies
00:0C:A3	Rancho Technology
00:0C:A4	Prompttec Product Management GmbH
00:0C:A5	Naman NZ
00:0C:A6	Mintera
00:0C:A7	Metro (Suzhou) Technologies Co.
00:0C:A8	Garuda Networks
00:0C:A9	Ebtron
00:0C:AA	Cubic Transportation Systems
00:0C:AB	Commend International
00:0C:AC	Citizen Watch Co.
00:0C:AD	BTU International
00:0C:AE	Ailocom Oy
00:0C:AF	TRI Term Co.
00:0C:B0	Star Semiconductor
00:0C:B1	Salland Engineering (Europe) BV
00:0C:B2	safei Co.
00:0C:B3	Round Co.
00:0C:B4	AutoCell Laboratories
00:0C:B5	Premier Technolgies
00:0C:B6	Nanjing SEU Mobile & Internet Technology Co.
00:0C:B7	Nanjing Huazhuo Electronics Co.
00:0C:B8	Medion AG
00:0C:B9	LEA
00:0C:BA	Jamex
00:0C:BB	Iskraemeco
00:0C:BC	Iscutum
00:0C:BD	Interface Masters
00:0C:BE	Private
00:0C:BF	Holy Stone Ent. Co.
00:0C:C0	Genera Oy
00:0C:C1	Cooper Industries
00:0C:C2	Private
00:0C:C3	BeWAN systems
00:0C:C4	Tiptel AG
00:0C:C5	Nextlink Co.
00:0C:C6	Ka-Ro electronics GmbH
00:0C:C7	Intelligent Computer Solutions
00:0C:C8	Xytronix Research & Design
00:0C:C9	Ilwoo Data & Technology Co.
00:0C:CA	Hitachi Global Storage Technologies
00:0C:CB	Design Combus
00:0C:CC	Aeroscout
00:0C:CD	IEC - Tc57
00:0C:CE	Cisco Systems
00:0C:CF	Cisco Systems
00:0C:D0	Symetrix
00:0C:D1	Sfom Technology
00:0C:D2	Schaffner EMV AG
00:0C:D3	Prettl Elektronik Radeberg GmbH
00:0C:D4	Positron Public Safety Systems
00:0C:D5	Passave
00:0C:D6	Partner Tech
00:0C:D7	Nallatech
00:0C:D8	M. K. Juchheim GmbH & Co
00:0C:D9	Itcare Co.
00:0C:DA	FreeHand Systems
00:0C:DB	Foundry Networks
00:0C:DC	Becs Technology
00:0C:DD	AOS Technologies AG
00:0C:DE	ABB Stotz-kontakt Gmbh
00:0C:DF	Pulnix America
00:0C:E0	Trek Diagnostics
00:0C:E1	The Open Group
00:0C:E2	Rolls-Royce
00:0C:E3	Option International N.V.
00:0C:E4	NeuroCom International
00:0C:E5	Motorola BCS
00:0C:E6	Meru Networks
00:0C:E7	MediaTek
00:0C:E8	GuangZhou AnJuBao Co.
00:0C:E9	Bloomberg L.P.
00:0C:EA	aphona Kommunikationssysteme
00:0C:EB	Cnmp Networks
00:0C:EC	Spectracom
00:0C:ED	Real Digital Media
00:0C:EE	jp-embedded
00:0C:EF	Open Networks Engineering
00:0C:F0	M & N GmbH
00:0C:F1	Intel
00:0C:F2	Gamesa EÓlica
00:0C:F3	Call Image SA
00:0C:F4	Akatsuki Electric Mfg.co.
00:0C:F5	InfoExpress
00:0C:F6	Sitecom Europe BV
00:0C:F7	Nortel Networks
00:0C:F8	Nortel Networks
00:0C:F9	ITT Flygt AB
00:0C:FA	Digital Systems
00:0C:FB	Korea Network Systems
00:0C:FC	S2io Technologies
00:0C:FD	Private
00:0C:FE	Grand Electronic Co.
00:0C:FF	Mro-tek Limited
00:0D:00	Seaway Networks
00:0D:01	P&E Microcomputer Systems
00:0D:02	NEC Access Technica
00:0D:03	Matrics
00:0D:04	Foxboro Eckardt Development GmbH
00:0D:05	cybernet manufacturing
00:0D:06	Compulogic Limited
00:0D:07	Calrec Audio
00:0D:08	AboveCable
00:0D:09	Yuehua(Zhuhai) Electronic CO.
00:0D:0A	Projectiondesign as
00:0D:0B	Buffalo
00:0D:0C	MDI Security Systems
00:0D:0D	ITSupported
00:0D:0E	Inqnet Systems
00:0D:0F	Finlux
00:0D:10	Embedtronics Oy
00:0D:11	Dentsply - Gendex
00:0D:12	Axell
00:0D:13	Wilhelm Rutenbeck GmbH&Co.
00:0D:14	Vtech Innovation LP dba Advanced American Telephones
00:0D:15	Voipac s.r.o.
00:0D:16	UHS Systems
00:0D:17	Turbo NetworksLtd
00:0D:18	Sunitec Enterprise Co.
00:0D:19	Robe Show Lighting
00:0D:1A	Mustek System
00:0D:1B	Kyoto Electronics Manufacturing Co.
00:0D:1C	I2E Telecom
00:0D:1D	High-tek Harness ENT. CO.
00:0D:1E	Control Techniques
00:0D:1F	AV Digital
00:0D:20	Asahikasei Technosystem Co.
00:0D:21	Wiscore
00:0D:22	Unitronics
00:0D:23	Smart Solution
00:0D:24	Sentec E&E CO.
00:0D:25	Sanden
00:0D:26	Primagraphics Limited
00:0D:27	Microplex Printware AG
00:0D:28	Cisco
00:0D:29	Cisco
00:0D:2A	Scanmatic AS
00:0D:2B	Racal Instruments
00:0D:2C	Patapsco Designs
00:0D:2D	NCT Deutschland GmbH
00:0D:2E	Matsushita Avionics Systems
00:0D:2F	AIN Comm.Tech.Co.
00:0D:30	IceFyre Semiconductor
00:0D:31	Compellent Technologies
00:0D:32	DispenseSource
00:0D:33	Prediwave
00:0D:34	Shell International Exploration and Production
00:0D:35	PAC International
00:0D:36	Wu Han Routon Electronic Co.
00:0D:37	Wiplug
00:0D:38	Nissin
00:0D:39	Network Electronics
00:0D:3A	Microsoft
00:0D:3B	Microelectronics Technology
00:0D:3C	i.Tech Dynamic
00:0D:3D	Hammerhead Systems
00:0D:3E	Aplux Communications
00:0D:3F	VXI Technology
00:0D:40	Verint Loronix Video Solutions
00:0D:41	Siemens AG ICM MP UC RD IT KLF1
00:0D:42	Newbest Development Limited
00:0D:43	DRS Tactical Systems
00:0D:44	Private
00:0D:45	Tottori Sanyo Electric Co.
00:0D:46	SSD Drives
00:0D:47	Collex
00:0D:48	Aewin Technologies Co.
00:0D:49	Triton Systems of Delaware
00:0D:4A	Steag ETA-Optik
00:0D:4B	Roku
00:0D:4C	Outline Electronics
00:0D:4D	Ninelanes
00:0D:4E	NDR Co.
00:0D:4F	Kenwood
00:0D:50	Galazar Networks
00:0D:51	Divr Systems
00:0D:52	Comart system
00:0D:53	Beijing 5w Communication
00:0D:54	3Com Europe
00:0D:55	Sanycom Technology Co.
00:0D:56	Dell Pcba Test
00:0D:57	Fujitsu I-Network Systems Limited.
00:0D:58	Private
00:0D:59	Amity Systems
00:0D:5A	Tiesse SpA
00:0D:5B	Smart Empire Investments Limited
00:0D:5C	Robert Bosch GmbH, Vt-atmo
00:0D:5D	Raritan Computer
00:0D:5E	NEC CustomTechnica
00:0D:5F	Minds
00:0D:60	IBM
00:0D:61	Giga-Byte Technology Co.
00:0D:62	Funkwerk Dabendorf GmbH
00:0D:63	Dent Instruments
00:0D:64	Comag Handels AG
00:0D:65	Cisco Systems
00:0D:66	Cisco Systems
00:0D:67	BelAir Networks
00:0D:68	Vinci Systems
00:0D:69	TMT&D
00:0D:6A	Redwood Technologies
00:0D:6B	Mita-Teknik A/S
00:0D:6C	M-Audio
00:0D:6D	K-Tech Devices
00:0D:6E	K-Patents Oy
00:0D:6F	Ember
00:0D:70	Datamax
00:0D:71	boca systems
00:0D:72	2Wire
00:0D:73	Technical Support
00:0D:74	Sand Network Systems
00:0D:75	Kobian Pte - Taiwan Branch
00:0D:76	Hokuto Denshi Co
00:0D:77	FalconStor Software
00:0D:78	Engineering & Security
00:0D:79	Dynamic Solutions Co
00:0D:7A	DiGATTO Asia Pacific Pte
00:0D:7B	Consensys Computers
00:0D:7C	Codian
00:0D:7D	Afco Systems
00:0D:7E	Axiowave Networks
00:0D:7F	Midas  Communication Technologies PTE ( Foreign Branch)
00:0D:80	Online Development
00:0D:81	Pepperl+Fuchs GmbH
00:0D:82	PHS srl
00:0D:83	Sanmina-SCI Hungary
00:0D:84	Makus
00:0D:85	Tapwave
00:0D:86	Huber + Suhner AG
00:0D:87	Elitegroup Computer System Co. (ECS)
00:0D:88	D-Link
00:0D:89	Bils Technology
00:0D:8A	Winners Electronics Co.
00:0D:8B	T&D
00:0D:8C	Shanghai Wedone Digital CO.
00:0D:8D	ProLinx Communication Gateways
00:0D:8E	Koden Electronics Co.
00:0D:8F	King Tsushin Kogyo Co.
00:0D:90	Factum Electronics AB
00:0D:91	Eclipse (HQ Espana) S.L.
00:0D:92	Arima Communication
00:0D:93	Apple Computer
00:0D:94	Afar Communications
00:0D:95	Opti-cell
00:0D:96	Vtera Technology
00:0D:97	Tropos Networks
00:0D:98	S.W.A.C. Schmitt-Walter Automation Consult GmbH
00:0D:99	Orbital Sciences; Launch Systems Group
00:0D:9A	Infotec
00:0D:9B	Heraeus Electro-Nite International N.V.
00:0D:9C	Elan GmbH & Co KG
00:0D:9D	Hewlett Packard
00:0D:9E	Tokuden Ohizumi Seisakusyo Co.
00:0D:9F	RF Micro Devices
00:0D:A0	Nedap N.V.
00:0D:A1	Mirae ITS Co.
00:0D:A2	Infrant Technologies
00:0D:A3	Emerging Technologies Limited
00:0D:A4	Dosch & Amand Systems AG
00:0D:A5	Fabric7 Systems
00:0D:A6	Universal Switching
00:0D:A7	Private
00:0D:A8	Teletronics Technology
00:0D:A9	T.e.a.m. S.L.
00:0D:AA	S.A.Tehnology co.
00:0D:AB	Parker Hannifin GmbH Electromechanical Division Europe
00:0D:AC	Japan CBM
00:0D:AD	Dataprobe
00:0D:AE	Samsung Heavy Industries CO.
00:0D:AF	Plexus (UK)
00:0D:B0	Olym-tech Co.
00:0D:B1	Japan Network Service Co.
00:0D:B2	Ammasso
00:0D:B3	SDO Communication Corperation
00:0D:B4	Netasq
00:0D:B5	Globalsat Technology
00:0D:B6	Teknovus
00:0D:B7	Sanko Electric Co
00:0D:B8	Schiller AG
00:0D:B9	PC Engines GmbH
00:0D:BA	Océ Document Technologies GmbH
00:0D:BB	Nippon Dentsu Co.
00:0D:BC	Cisco Systems
00:0D:BD	Cisco Systems
00:0D:BE	Bel Fuse Europe
00:0D:BF	TekTone Sound & Signal Mfg.
00:0D:C0	Spagat AS
00:0D:C1	SafeWeb
00:0D:C2	Private
00:0D:C3	First Communication
00:0D:C4	Emcore
00:0D:C5	EchoStar International
00:0D:C6	DigiRose Technology Co.
00:0D:C7	Cosmic Engineering
00:0D:C8	AirMagnet
00:0D:C9	Thales Elektronik Systeme Gmbh
00:0D:CA	Tait Electronics
00:0D:CB	Petcomkorea Co.
00:0D:CC	Neosmart
00:0D:CD	Groupe Txcom
00:0D:CE	Dynavac Technology Pte
00:0D:CF	Cidra
00:0D:D0	TetraTec Instruments GmbH
00:0D:D1	Stryker
00:0D:D2	Simrad Optronics ASA
00:0D:D3	Samwoo Telecommunication Co.
00:0D:D4	Revivio
00:0D:D5	O'rite Technology Co.
00:0D:D6	ITI
00:0D:D7	Bright
00:0D:D8	BBN
00:0D:D9	Anton Paar GmbH
00:0D:DA	Allied Telesis K.K.
00:0D:DB	Airwave Technologies
00:0D:DC	VAC
